,Quarter,Time,Tm,Detail,JAX,CIN
0,2.0,0:27,Jaguars,Jimmy Smith 3 yard pass from Mark Brunell (Mike Hollis kick),7,0
1,3.0,10:57,Bengals,Peter Warrick 82 yard punt return (Neil Rackers kick),7,7
2,3.0,4:57,Jaguars,Fred Taylor 5 yard rush (Mike Hollis kick),14,7
3,4.0,1:15,Bengals,Scott Mitchell 12 yard rush (Neil Rackers kick),14,14
4,4.0,0:00,Bengals,Neil Rackers 27 yard field goal,14,17
