,Quarter,Tm,Detail,ATL,SFO
0,1.0,49ers,Dave Parks 9 yard pass from John Brodie (Tommy Davis kick),0,7
1,1.0,49ers,John David Crow 23 yard rush (Tommy Davis kick),0,14
2,2.0,Falcons,Ernie Wheelwright 1 yard rush (Wade Traynham kick),7,14
3,2.0,49ers,Ken Willard 24 yard pass from John Brodie (Tommy Davis kick),7,21
4,3.0,49ers,Tommy Davis 27 yard field goal,7,24
5,3.0,49ers,Gary Lewis 2 yard rush (Tommy Davis kick),7,31
6,4.0,49ers,Gary Lewis 7 yard rush (Tommy Davis kick),7,38
