,Quarter,Time,Tm,Detail,DAL,DET
0,3.0,12:06,Lions,Jason Hanson 42 yard field goal,0,3
1,3.0,6:09,Lions,Jason Hanson 44 yard field goal,0,6
2,4.0,7:42,Cowboys,Troy Hambrick 3 yard rush (Billy Cundiff kick),7,6
3,4.0,0:48,Lions,Jason Hanson 43 yard field goal,7,9
