,Quarter,Tm,Detail,BUF,CLE
0,1.0,Browns,Reggie Rucker 16 yard pass from Brian Sipe (Don Cockroft kick),0,7
1,2.0,Browns,Calvin Hill 15 yard pass from Brian Sipe,0,13
2,2.0,Bills,Terry Miller 2 yard rush (Tom Dempsey kick),7,13
3,2.0,Browns,Mike Pruitt 1 yard rush (Don Cockroft kick),7,20
4,3.0,Browns,Reggie Rucker 44 yard pass from Brian Sipe (Don Cockroft kick),7,27
5,3.0,Browns,Mike Pruitt 71 yard rush (Don Cockroft kick),7,34
6,3.0,Bills,Dennis Johnson 1 yard rush,13,34
7,4.0,Browns,Calvin Hill 3 yard pass from Mark Miller (Don Cockroft kick),13,41
8,4.0,Bills,Lou Piccone 5 yard pass from Dave Mays (Tom Dempsey kick),20,41
