,Quarter,Tm,Detail,NYJ,NYG
0,2.0,Jets,Pat Leahy 37 yard field goal,3,0
1,2.0,Jets,Pat Leahy 33 yard field goal,6,0
2,2.0,Jets,Wesley Walker 39 yard pass from Richard Todd (Pat Leahy kick),13,0
3,3.0,Jets,Pat Leahy 42 yard field goal,16,0
4,3.0,Giants,Beasley Reece 4 yard special teams fumble return (Joe Danelo kick),16,7
5,4.0,Jets,Pat Leahy 38 yard field goal,19,7
6,4.0,Jets,Darrol Ray 64 yard interception return (Pat Leahy kick),26,7
