,Quarter,Tm,Detail,NYJ,CLE
0,2.0,Jets,Rob Moore 16 yard pass from Blair Thomas (Pat Leahy kick),7,0
1,2.0,Jets,Brad Baxter 1 yard rush (Pat Leahy kick),14,0
2,3.0,Browns,Kevin Mack 1 yard rush (Matt Stover kick),14,7
3,3.0,Browns,Leroy Hoard 4 yard pass from Bernie Kosar (Matt Stover kick),14,14
4,4.0,Jets,Pat Leahy 28 yard field goal,17,14
