,Quarter,Time,Tm,Detail,PIT,BAL
0,1.0,8:01,Ravens,Justin Tucker 45 yard field goal,0,3
1,1.0,2:42,Ravens,Justin Tucker 22 yard field goal,0,6
2,2.0,12:56,Steelers,Benny Snell Jr. 4 yard rush (Chris Boswell kick),7,6
3,2.0,1:14,Ravens,Justin Tucker 42 yard field goal,7,9
4,2.0,0:26,Ravens,Justice Hill 8 yard rush (Justin Tucker kick),7,16
5,3.0,9:58,Steelers,Chris Boswell 26 yard field goal,10,16
6,4.0,13:34,Ravens,Justin Tucker 47 yard field goal,10,19
7,4.0,4:41,Ravens,Jordan Richards fumble recovery in end zone (Justin Tucker kick),10,26
8,4.0,4:27,Ravens,"Safety, Devlin Hodges Intentional Grounding in end zone",10,28
