,Quarter,Tm,Detail,STL,HOU
0,2.0,Cardinals,Theotis Brown 2 yard rush (Steve Little kick),7,0
1,2.0,Oilers,Earl Campbell 4 yard rush (Toni Fritsch kick),7,7
2,2.0,Oilers,Ken Burrough 11 yard pass from Dan Pastorini (Toni Fritsch kick),7,14
3,3.0,Cardinals,Steve Little 24 yard field goal,10,14
4,4.0,Oilers,Toni Fritsch 51 yard field goal,10,17
5,4.0,Cardinals,Wayne Morris 1 yard rush (Steve Little kick),17,17
6,4.0,Cardinals,Wayne Morris 6 yard rush (Steve Little kick),24,17
