,Quarter,Tm,Detail,CHI,NYY
0,1.0,Yankees,Ray Flaherty unknown yard pass from Wild Bill Kelly,0,6
1,2.0,Bears,Buck White 1 yard rush,6,6
2,2.0,Yankees,Ray Flaherty unknown yard pass from Wild Bill Kelly (Eddie Tryon kick),6,13
3,4.0,Yankees,Ray Flaherty unknown yard pass from Wes Fry (Eddie Tryon kick),6,20
4,4.0,Yankees,Eddie Tryon unknown yard rush,6,26
