,Quarter,Tm,Detail,BKN,GNB
0,2.0,Packers,Verne Lewellen 8 yard rush,0,6
1,2.0,Packers,Lavvie Dilweg 55 yard pass from Russ Saunders,0,12
2,3.0,Packers,Milt Gantenbein 21 yard pass from Hank Bruder (Whitey Woodin kick),0,19
3,3.0,Packers,Whitey Woodin 5 yard interception return (Whitey Woodin kick),0,26
4,4.0,Packers,Arnie Herber 3 yard rush,0,32
5,4.0,Dodgers,Joe Vance 5 yard rush,6,32
