,Quarter,Tm,Detail,BAL,BUF
0,1.0,Bills,Efren Herrera 47 yard field goal,0,3
1,2.0,Bills,Roosevelt Leaks 1 yard rush (Efren Herrera kick),0,10
2,2.0,Bills,Roosevelt Leaks 1 yard rush (Efren Herrera kick),0,17
3,4.0,Bills,Efren Herrera 41 yard field goal,0,20
