,Quarter,Tm,Detail,WAS,NYJ
0,1.0,Redskins,Jean Fugett 16 yard pass from Billy Kilmer (Mark Moseley kick),7,0
1,1.0,Redskins,Roy Jefferson 14 yard pass from Billy Kilmer (Mark Moseley kick),14,0
2,1.0,Redskins,Mark Moseley 18 yard field goal,17,0
3,2.0,Jets,Pat Leahy 47 yard field goal,17,3
4,2.0,Redskins,John Riggins 1 yard rush (Mark Moseley kick),24,3
5,3.0,Redskins,John Riggins 2 yard pass from Billy Kilmer (Mark Moseley kick),31,3
6,3.0,Jets,Clark Gaines 6 yard rush,31,9
7,3.0,Redskins,Mark Moseley 23 yard field goal,34,9
8,4.0,Jets,Louie Giammona 1 yard rush (Pat Leahy kick),34,16
9,4.0,Redskins,Mark Moseley 32 yard field goal,37,16
