,Quarter,Tm,Detail,CLE,CRD
0,1.0,Browns,Jim Brown 2 yard rush (Lou Groza kick),7,0
1,2.0,Browns,Jim Brown 1 yard rush (Lou Groza kick),14,0
2,2.0,Browns,Ray Renfro 5 yard pass from Milt Plum (Lou Groza kick),21,0
3,3.0,Browns,Junior Wren 44 yard fumble return (Lou Groza kick),28,0
4,3.0,Cardinals,King Hill 1 yard rush (Bobby Joe Conrad kick),28,7
5,4.0,Browns,Billy Howton 36 yard pass from Milt Plum,34,7
