,Quarter,Time,Tm,Detail,ARI,SDG
0,1.0,4:45,Chargers,Antonio Gates 33 yard pass from Philip Rivers (Nate Kaeding kick),0,7
1,2.0,13:34,Cardinals,Kerry Rhodes 42 yard defensive fumble return (Jay Feely kick),7,7
2,2.0,10:31,Chargers,Mike Tolbert 5 yard rush (Nate Kaeding kick),7,14
3,2.0,3:30,Chargers,Antonio Gates 26 yard pass from Philip Rivers (Nate Kaeding kick),7,21
4,2.0,2:30,Chargers,Shaun Phillips 31 yard interception return (Nate Kaeding kick),7,28
5,3.0,3:55,Chargers,Nate Kaeding 48 yard field goal,7,31
6,3.0,1:31,Chargers,Ryan Mathews 15 yard rush (Nate Kaeding kick),7,38
7,4.0,10:49,Chargers,Nate Kaeding 47 yard field goal,7,41
8,4.0,3:17,Cardinals,Jay Feely 53 yard field goal,10,41
