,Quarter,Tm,Detail,CHI,CLE
0,1,Bears,Earl Thomas 41 yard pass from Bobby Douglass (Mac Percival kick),7,0
1,3,Bears,Mac Percival 8 yard field goal,10,0
2,4,Bears,Bobby Douglass 57 yard rush (Mac Percival kick),17,0
