,Quarter,Tm,Detail,DET,BAL
0,1.0,Lions,Dorne Dibble 44 yard pass from Bobby Layne,6,0
1,1.0,Colts,Alan Ameche 2 yard rush (Bert Rechichar kick),6,7
2,2.0,Colts,Jim Mutscheller 15 yard pass from George Shaw (Bert Rechichar kick),6,14
3,2.0,Colts,Alan Ameche 57 yard rush (Bert Rechichar kick),6,21
4,2.0,Lions,Dorne Dibble 1 yard pass from Bobby Layne (Doak Walker kick),13,21
5,3.0,Colts,Lloyd Colteryahn 3 yard pass from George Shaw (Bert Rechichar kick),13,28
