,Quarter,Tm,Detail,SEA,NOR
0,1.0,Saints,Morten Andersen 20 yard field goal,0,3
1,2.0,Seahawks,Curt Warner 1 yard rush (Norm Johnson kick),7,3
2,4.0,Seahawks,Norm Johnson 32 yard field goal,10,3
3,4.0,Seahawks,Jacob Green 19 yard interception return (Norm Johnson kick),17,3
4,4.0,Seahawks,Daryl Turner 15 yard pass from Dave Krieg (Norm Johnson kick),24,3
5,4.0,Seahawks,Norm Johnson 26 yard field goal,27,3
