,Quarter,Tm,Detail,WAS,BKN
0,1.0,Redskins,Andy Farkas 91 yard kickoff return (Bob Masterson kick),7,0
1,2.0,Redskins,Wayne Millner 34 yard pass from Sammy Baugh (Bob Masterson kick),14,0
2,2.0,Redskins,Andy Farkas 34 yard rush (Bob Masterson kick),21,0
3,3.0,Redskins,Andy Farkas 2 yard rush (Bo Russell kick),28,0
4,4.0,Redskins,Bob McChesney 5 yard rush (Bo Russell kick),35,0
5,4.0,Redskins,Dick Todd 80 yard punt return (Bo Russell kick),42,0
