,Quarter,Tm,Detail,SFO,ATL
0,2.0,49ers,Bruce Gossett 10 yard field goal,3,0
1,2.0,49ers,Vic Washington 7 yard rush (Bruce Gossett kick),10,0
2,2.0,Falcons,Nick Mike-Mayer 42 yard field goal,10,3
3,2.0,Falcons,Nick Mike-Mayer 46 yard field goal,10,6
4,3.0,49ers,Bruce Gossett 36 yard field goal,13,6
5,4.0,Falcons,Nick Mike-Mayer 37 yard field goal,13,9
