,Quarter,Tm,Detail,DAY,CRD
0,1.0,Cardinals,John Hurlburt unknown yard pass from Paddy Driscoll,0,6
1,2.0,Cardinals,Fred DeStefano unknown yard rush (Paddy Driscoll kick),0,13
2,2.0,Cardinals,Paddy Driscoll 35 yard field goal,0,16
3,3.0,Cardinals,Carl Hanke 35 yard pass from Paddy Driscoll (Paddy Driscoll kick),0,23
