,Quarter,Tm,Detail,PIT,BOS
0,1.0,Steelers,Steve Lach 1 yard rush (Joe Glamp kick),7,0
1,2.0,Steelers,Paul White 52 yard rush (Joe Glamp kick),14,0
2,3.0,Steelers,Steve Lach 1 yard rush (Joe Glamp kick),21,0
3,4.0,Steelers,"Safety, Dancewicz tackled in end zone by Bova",23,0
4,4.0,Steelers,Johnny Clement 1 yard rush (Joe Glamp kick),30,0
5,4.0,Yanks,Don Currivan 33 yard pass from Boley Dancewicz (Nick Scollard kick),30,7
6,4.0,Yanks,Don Currivan 20 yard pass from Boley Dancewicz (Frank Maznicki kick),30,14
