,Quarter,Tm,Detail,WAS,STL
0,1.0,Cardinals,Bob Paremore 30 yard pass from Charley Johnson (Jim Bakken kick),0,7
1,2.0,Redskins,Bob Khayat 37 yard field goal,3,7
2,2.0,Cardinals,Jim Bakken 36 yard field goal,3,10
3,2.0,Redskins,Bob Khayat 10 yard field goal,6,10
4,3.0,Cardinals,Bobby Joe Conrad 20 yard pass from Charley Johnson (Jim Bakken kick),6,17
5,4.0,Cardinals,Sonny Randle 14 yard pass from Charley Johnson (Jim Bakken kick),6,24
6,4.0,Redskins,Billy Ray Barnes 2 yard rush (Bob Khayat kick),13,24
7,4.0,Redskins,Billy Ray Barnes 4 yard rush (Bob Khayat kick),20,24
