,Quarter,Time,Tm,Detail,NWE,CLE
0,1.0,4:31,Browns,Kevin Johnson 64 yard pass from Tim Couch (Phil Dawson kick),0,7
1,2.0,10:21,Patriots,Adam Vinatieri 23 yard field goal,3,7
2,2.0,0:26,Patriots,Adam Vinatieri 21 yard field goal,6,7
3,3.0,9:23,Patriots,Terry Allen 3 yard rush (Adam Vinatieri kick),13,7
4,4.0,15:00,Patriots,Terry Glenn 54 yard pass from Drew Bledsoe (pass failed),19,7
