,Quarter,Time,Tm,Detail,CAR,STL
0,2.0,,Rams,Jerome Bettis 1 yard rush (Dean Biasucci kick),0,7
1,2.0,,Rams,Isaac Bruce 12 yard pass from Chris Miller (Dean Biasucci kick),0,14
2,2.0,,Panthers,Don Beebe 21 yard pass from Kerry Collins (John Kasay kick),7,14
3,3.0,,Panthers,John Kasay 23 yard field goal,10,14
4,4.0,3:08,Rams,Troy Drayton 2 yard pass from Chris Miller (Dean Biasucci kick),10,21
5,4.0,3:08,Rams,Torin Dorn 26 yard defensive fumble return (Dean Biasucci kick),10,28
6,4.0,3:08,Panthers,Willie Green 17 yard pass from Kerry Collins (John Kasay kick),17,28
