,Quarter,Tm,Detail,BAL,CLE
0,3.0,Browns,Lou Groza 43 yard field goal,0,3
1,3.0,Browns,Gary Collins 18 yard pass from Frank Ryan (Lou Groza kick),0,10
2,3.0,Browns,Gary Collins 42 yard pass from Frank Ryan (Lou Groza kick),0,17
3,4.0,Browns,Lou Groza 10 yard field goal,0,20
4,4.0,Browns,Gary Collins 51 yard pass from Frank Ryan (Lou Groza kick),0,27
