,Quarter,Tm,Detail,RAM,CHI
0,1.0,Rams,Johnny Drake 34 yard rush (Vic Spadaccini kick),7,0
1,2.0,Bears,Bob Swisher 7 yard rush (Joe Maniaci kick),7,7
2,2.0,Bears,Les McDonald 21 yard pass from Bernie Masterson (Joe Maniaci kick),7,14
3,2.0,Bears,Joe Maniaci 1 yard rush,7,20
4,3.0,Rams,Johnny Drake 1 yard rush (Vic Spadaccini kick),14,20
5,4.0,Bears,Jack Manders 16 yard field goal,14,23
6,4.0,Bears,Dick Plasman 26 yard pass from Bernie Masterson (Jack Manders kick),14,30
7,4.0,Rams,Jim Benton 50 yard pass from Kelly Moan (Kelly Moan kick),21,30
