,Quarter,Tm,Detail,GNB,BAL
0,1.0,Colts,Buddy Young 4 yard rush (Bert Rechichar kick),0,7
1,2.0,Packers,Fred Cone 11 yard field goal,3,7
2,3.0,Packers,Tobin Rote 1 yard rush (Fred Cone kick),10,7
3,3.0,Colts,L.G. Dupre 23 yard rush (Bert Rechichar kick),10,14
