,Quarter,Tm,Detail,PIT,BOS
0,1.0,Yanks,Ralph Heywood 14 yard fumble return,0,6
1,4.0,Yanks,Frank Seno 22 yard pass from Roy Zimmerman (Roy Zimmerman kick),0,13
2,4.0,Steelers,Jerry Shipkey 1 yard rush (Joe Glamp kick),7,13
