,Quarter,Time,Tm,Detail,CIN,DEN
0,1.0,,Broncos,Jason Elam 34 yard field goal,0,3
1,1.0,,Broncos,Jason Elam 33 yard field goal,0,6
2,2.0,,Bengals,Doug Pelfrey 43 yard field goal,3,6
3,2.0,,Broncos,Anthony Miller 16 yard pass from John Elway,3,12
4,2.0,,Broncos,Jason Elam 37 yard field goal,3,15
5,2.0,,Bengals,Doug Pelfrey 32 yard field goal,6,15
6,4.0,2:12,Bengals,Carl Pickens 70 yard pass from Jeff Blake (Doug Pelfrey kick),13,15
