,Quarter,Tm,Detail,PIT,BKN
0,1.0,Dodgers,Jack Grossman 72 yard punt return (Ralph Kercheval kick),0,7
1,1.0,Pirates,Armand Niccolai 50 yard field goal,3,7
2,4.0,Dodgers,Jack Grossman 26 yard pass from Chris Cagle (Ralph Kercheval kick),3,14
3,4.0,Dodgers,Ralph Kercheval 15 yard pass from Cliff Montgomery (Ralph Kercheval kick),3,21
