,Quarter,Tm,Detail,PIT,WAS
0,1,Steelers,John Henry Johnson 4 yard rush (Mike Clark kick),7,0
1,2,Redskins,Charley Taylor 36 yard rush (Jim Martin kick),7,7
2,4,Steelers,Gary Ballman 47 yard pass from Ed Brown (Mike Clark kick),14,7
