,Quarter,Tm,Detail,TOR,NYG
0,1.0,Giants,Len Sedbrook 18 yard rush,0,6
1,1.0,Giants,Ray Flaherty 25 yard pass from Benny Friedman (Benny Friedman kick),0,13
2,2.0,Giants,Tony Plansky 40 yard field goal,0,16
3,3.0,Giants,Len Sedbrook 60 yard interception return,0,22
