,Quarter,Tm,Detail,BUF,RAI
0,1.0,Raiders,Bo Jackson 14 yard pass from Marc Wilson (Chris Bahr kick),0,7
1,1.0,Raiders,Chris Bahr 22 yard field goal,0,10
2,2.0,Bills,Ronnie Harmon 8 yard rush (Scott Norwood kick),7,10
3,2.0,Raiders,Chris Bahr 33 yard field goal,7,13
4,2.0,Bills,Butch Rolle 3 yard pass from Jim Kelly (Scott Norwood kick),14,13
5,3.0,Raiders,James Lofton 41 yard pass from Marc Wilson (Chris Bahr kick),14,20
6,3.0,Raiders,Marcus Allen 2 yard rush (Chris Bahr kick),14,27
7,3.0,Bills,Ronnie Harmon 8 yard rush (Scott Norwood kick),21,27
8,4.0,Raiders,Dokie Williams 23 yard pass from Marc Wilson (Chris Bahr kick),21,34
