,Quarter,Tm,Detail,BAL,RAM
0,1.0,Colts,Steve Myhra 30 yard field goal,3,0
1,1.0,Rams,Dick Bass 3 yard rush (Danny Villanueva kick),3,7
2,1.0,Colts,Joe Perry 2 yard rush (Steve Myhra kick),10,7
3,2.0,Rams,Danny Villanueva 36 yard field goal,10,10
4,3.0,Rams,Carroll Dale 68 yard pass from Zeke Bratkowski (Danny Villanueva kick),10,17
5,3.0,Rams,Danny Villanueva 24 yard field goal,10,20
6,3.0,Colts,Jim Welch 60 yard rush (Steve Myhra kick),17,20
7,4.0,Rams,Joe Marconi 8 yard pass from Zeke Bratkowski (Danny Villanueva kick),17,27
8,4.0,Rams,Joe Marconi 6 yard rush (Danny Villanueva kick),17,34
