,Quarter,Tm,Detail,RAI,MIA
0,1.0,Raiders,Chris Bahr 32 yard field goal,3,0
1,1.0,Raiders,Chris Bahr 33 yard field goal,6,0
2,2.0,Dolphins,Bruce Hardy 18 yard pass from Dan Marino (Fuad Reveiz kick),6,7
3,2.0,Raiders,Marcus Allen 2 yard rush (Chris Bahr kick),13,7
4,2.0,Raiders,Marcus Allen 16 yard pass from Marc Wilson (Chris Bahr kick),20,7
5,2.0,Raiders,Chris Bahr 40 yard field goal,23,7
6,3.0,Dolphins,Dan Johnson 5 yard pass from Dan Marino (Fuad Reveiz kick),23,14
7,4.0,Raiders,Marcus Allen 2 yard rush (Chris Bahr kick),30,14
8,4.0,Dolphins,Lorenzo Hampton 2 yard rush (Fuad Reveiz kick),30,21
9,4.0,Dolphins,Mark Clayton 68 yard pass from Dan Marino (Fuad Reveiz kick),30,28
