,Quarter,Tm,Detail,NYJ,PIT
0,1.0,Steelers,Russell Davis 9 yard rush (David Trout kick),0,7
1,2.0,Steelers,David Trout 25 yard field goal,0,10
2,2.0,Steelers,Frank Pollard 23 yard rush (David Trout kick),0,17
3,2.0,Jets,Pat Leahy 47 yard field goal,3,17
4,3.0,Steelers,Terry Bradshaw 1 yard rush (David Trout kick),3,24
5,3.0,Steelers,Frank Pollard 1 yard rush (David Trout kick),3,31
6,4.0,Steelers,Sidney Thornton 1 yard rush (David Trout kick),3,38
7,4.0,Jets,Freeman McNeil 17 yard pass from Pat Ryan (Pat Leahy kick),10,38
