,Quarter,Tm,Detail,BUF,RCH
0,1,All-Americans,Tommy Hughitt unknown yard rush (Frank Morrissey kick),7,0
1,2,All-Americans,Waddy Kuehl unknown yard rush (Frank Morrissey kick),14,0
2,4,All-Americans,Carl Thomas 40 yard interception return (Waddy Kuehl pass from Tommy Hughitt),21,0
