,Quarter,Tm,Detail,NWE,IND
0,1.0,Patriots,Derrick Ramsey 4 yard pass from Tony Eason (Tony Franklin kick),7,0
1,1.0,Patriots,"Safety, R. James tackled Middleton in end zone",9,0
2,1.0,Patriots,Derrick Ramsey 26 yard pass from Tony Eason (Tony Franklin kick),16,0
3,2.0,Colts,Art Schlichter 13 yard rush (Raul Allegre kick),16,7
4,2.0,Patriots,Derrick Ramsey 23 yard pass from Tony Eason (Tony Franklin kick),23,7
5,2.0,Colts,Raul Allegre 35 yard field goal,23,10
6,2.0,Patriots,Tony Franklin 28 yard field goal,26,10
7,3.0,Patriots,Stanley Morgan 12 yard pass from Tony Eason (Tony Franklin kick),33,10
8,4.0,Patriots,Tony Franklin 40 yard field goal,36,10
9,4.0,Patriots,Mosi Tatupu 1 yard rush (Tony Franklin kick),43,10
10,4.0,Colts,Bernard Henry 13 yard pass from Art Schlichter (Raul Allegre kick),43,17
11,4.0,Patriots,Mosi Tatupu 20 yard rush (Tony Franklin kick),50,17
