,Quarter,Tm,Detail,BAL,WAS
0,1.0,Redskins,Virgil Seay 38 yard pass from Joe Theismann (Mark Moseley kick),0,7
1,1.0,Colts,Ray Butler 10 yard pass from Bert Jones (Mike Wood kick),7,7
2,2.0,Redskins,John Riggins 8 yard rush (Mark Moseley kick),7,14
3,2.0,Redskins,John Riggins 14 yard rush (Mark Moseley kick),7,21
4,2.0,Redskins,Joe Theismann 8 yard rush (Mark Moseley kick),7,28
5,3.0,Redskins,Art Monk 13 yard pass from Joe Theismann (Mark Moseley kick),7,35
6,3.0,Colts,Reese McCall 6 yard pass from Bert Jones (Mike Wood kick),14,35
7,3.0,Redskins,Mark Moseley 32 yard field goal,14,38
