,Quarter,Tm,Detail,PHO,DET
0,1.0,Lions,Eddie Murray 30 yard field goal,0,3
1,2.0,Cardinals,Al Del Greco 29 yard field goal,3,3
2,2.0,Cardinals,Al Del Greco 23 yard field goal,6,3
3,3.0,Lions,Barry Sanders 3 yard rush (Eddie Murray kick),6,10
4,4.0,Cardinals,Roy Green 15 yard pass from Gary Hogeboom (Al Del Greco kick),13,10
5,4.0,Lions,Eddie Murray 23 yard field goal,13,13
6,4.0,Cardinals,Al Del Greco 33 yard field goal,16,13
