,Quarter,Time,Tm,Detail,BAL,HOU
0,1.0,10:33,Texans,Randy Bullock 35 yard field goal,0,3
1,2.0,14:57,Texans,Randy Bullock 25 yard field goal,0,6
2,2.0,3:54,Texans,Randy Bullock 30 yard field goal,0,9
3,2.0,1:53,Texans,C.J. Fiedorowicz 5 yard pass from Arian Foster (Randy Bullock kick),0,16
4,3.0,11:10,Ravens,Torrey Smith 8 yard pass from Joe Flacco (Justin Tucker kick),7,16
5,3.0,8:04,Texans,Randy Bullock 20 yard field goal,7,19
6,4.0,14:50,Texans,Randy Bullock 39 yard field goal,7,22
7,4.0,9:55,Texans,Randy Bullock 33 yard field goal,7,25
8,4.0,5:56,Ravens,Torrey Smith 20 yard pass from Joe Flacco,13,25
