,Quarter,Tm,Detail,CHI,BAL
0,1.0,Colts,Raymond Berry 36 yard pass from Johnny Unitas (Lou Michaels kick),0,7
1,2.0,Colts,Lou Michaels 28 yard field goal,0,10
2,2.0,Colts,Jimmy Orr 37 yard pass from Johnny Unitas (Lou Michaels kick),0,17
3,2.0,Colts,Lenny Moore 3 yard rush (Lou Michaels kick),0,24
4,3.0,Colts,Jerry Hill 27 yard pass from Johnny Unitas (Lou Michaels kick),0,31
5,3.0,Colts,Tony Lorick 1 yard rush (Lou Michaels kick),0,38
6,4.0,Colts,Butch Wilson 7 yard pass from Gary Cuozzo (Lou Michaels kick),0,45
7,4.0,Colts,Joe Don Looney 58 yard rush (Lou Michaels kick),0,52
