,Quarter,Tm,Detail,WAS,PIT
0,1.0,Steelers,Lou Michaels 37 yard field goal,0,3
1,2.0,Redskins,Jim Cunningham 10 yard pass from Norm Snead (Bob Khayat kick),7,3
2,2.0,Steelers,Lou Michaels 18 yard field goal,7,6
3,3.0,Redskins,Bill Anderson 46 yard pass from Norm Snead (Bob Khayat kick),14,6
4,3.0,Redskins,Billy Ray Barnes 32 yard rush (Bob Khayat kick),21,6
5,4.0,Steelers,Red Mack 20 yard pass from Ed Brown (Lou Michaels kick),21,13
6,4.0,Steelers,Buddy Dial 9 yard pass from Ed Brown (Lou Michaels kick),21,20
7,4.0,Steelers,Lou Michaels 24 yard field goal,21,23
