,Quarter,Time,Tm,Detail,NYG,NYJ
0,1.0,7:25,Jets,Sam Darnold 2 yard rush (Sam Ficken kick),0,7
1,1.0,1:44,Jets,Jamison Crowder 23 yard pass from Sam Darnold (Sam Ficken kick),0,14
2,2.0,12:33,Giants,Darius Slayton 5 yard pass from Daniel Jones (Aldrick Rosas kick),7,14
3,2.0,5:33,Giants,Darius Slayton 39 yard pass from Daniel Jones (pass failed),13,14
4,3.0,14:23,Jets,Jamal Adams 25 yard fumble return (Sam Ficken kick),13,21
5,3.0,12:01,Giants,Golden Tate 61 yard pass from Daniel Jones (Aldrick Rosas kick failed),19,21
6,3.0,5:26,Giants,Golden Tate 15 yard pass from Daniel Jones (Bennie Fowler pass from Daniel Jones ),27,21
7,3.0,1:46,Jets,Sam Ficken 53 yard field goal,27,24
8,4.0,14:55,Jets,Le'Veon Bell 1 yard rush (Sam Ficken kick),27,31
9,4.0,7:39,Jets,Sam Ficken 35 yard field goal,27,34
