,Quarter,Tm,Detail,HAM,AKR
0,2.0,Pros,Paul Sheeks 25 yard field goal,0,3
1,3.0,Pros,Carl Cramer 25 yard rush (Paul Sheeks kick),0,10
2,4.0,Pros,Walt LeJeune unknown yard pass from Rip King,0,16
3,4.0,Pros,Untz Brewer 8 yard rush,0,22
