,Quarter,Time,Tm,Detail,LAC,DEN
0,1.0,4:40,Broncos,Courtland Sutton 26 yard pass from Drew Lock (Brandon McManus kick),0,7
1,1.0,0:21,Broncos,Courtland Sutton 5 yard pass from Drew Lock (Brandon McManus kick),0,14
2,2.0,9:31,Chargers,Michael Badgley 30 yard field goal,3,14
3,2.0,5:36,Broncos,Brandon McManus 31 yard field goal,3,17
4,2.0,0:38,Chargers,Austin Ekeler 30 yard pass from Philip Rivers (Michael Badgley kick),10,17
5,4.0,12:28,Chargers,Keenan Allen 36 yard pass from Philip Rivers (Michael Badgley kick),17,17
6,4.0,4:31,Broncos,Brandon McManus 52 yard field goal,17,20
7,4.0,0:19,Chargers,Michael Badgley 46 yard field goal,20,20
8,4.0,0:03,Broncos,Brandon McManus 53 yard field goal,20,23
