,Quarter,Tm,Detail,BUF,NWE
0,1.0,Bills,Don Smith 1 yard rush (Scott Norwood kick),7,0
1,2.0,Bills,Thurman Thomas 3 yard rush (Scott Norwood kick),14,0
2,2.0,Patriots,Jason Staurovsky 32 yard field goal,14,3
3,3.0,Bills,Scott Norwood 35 yard field goal,17,3
4,3.0,Bills,Scott Norwood 35 yard field goal,20,3
5,3.0,Bills,Keith McKeller 20 yard pass from Jim Kelly (Scott Norwood kick),27,3
6,4.0,Patriots,Sammy Martin 19 yard pass from Steve Grogan (Jason Staurovsky kick),27,10
