,Quarter,Time,Tm,Detail,KAN,PHI
0,1.0,4:24,Eagles,Duce Staley 5 yard rush (Chris Boniol kick),0,7
1,2.0,14:07,Chiefs,Donnell Bennett 1 yard rush (Pete Stoyanovich kick),7,7
2,3.0,8:48,Eagles,Duce Staley 3 yard rush (Chris Boniol kick),7,14
3,4.0,12:35,Chiefs,Pete Stoyanovich 21 yard field goal,10,14
4,4.0,9:27,Chiefs,Donnell Bennett 7 yard rush (Pete Stoyanovich kick),17,14
5,4.0,4:02,Chiefs,Donnell Bennett 5 yard rush (Pete Stoyanovich kick),24,14
6,4.0,1:09,Eagles,Duce Staley 17 yard pass from Rodney Peete (Chris Boniol kick),24,21
