,Quarter,Tm,Detail,CLE,BUF
0,1.0,Bills,Joe Cribbs 58 yard pass from Joe Ferguson (run failed),0,6
1,2.0,Bills,Joe Cribbs 15 yard pass from Joe Ferguson (Nick Mike-Mayer kick),0,13
2,2.0,Browns,Matt Bahr 36 yard field goal,3,13
3,3.0,Browns,Matt Bahr 39 yard field goal,6,13
4,3.0,Bills,"Safety, McDonald tackled in end zone",6,15
5,4.0,Browns,Ozzie Newsome 12 yard pass from Brian Sipe (Matt Bahr kick),13,15
6,4.0,Bills,Joe Cribbs 60 yard pass from Joe Ferguson (Nick Mike-Mayer kick),13,22
