,Quarter,Time,Tm,Detail,PIT,CIN
0,2.0,,Steelers,Norm Johnson 40 yard field goal,3,0
1,2.0,,Steelers,Jerome Bettis 13 yard rush (Norm Johnson kick),10,0
2,2.0,,Bengals,Doug Pelfrey 44 yard field goal,10,3
3,2.0,1:04,Bengals,Darnay Scott 44 yard pass from Neil O'Donnell (pass failed),10,9
4,3.0,1:04,Steelers,Richard Huntley 9 yard rush (Norm Johnson kick),17,9
5,3.0,1:04,Bengals,Doug Pelfrey 48 yard field goal,17,12
6,4.0,1:04,Bengals,Darnay Scott 30 yard pass from Neil O'Donnell (pass failed),17,18
7,4.0,1:04,Steelers,Norm Johnson 40 yard field goal,20,18
8,4.0,0:38,Bengals,Carl Pickens 25 yard pass from Neil O'Donnell (Doug Pelfrey kick),20,25
