,Quarter,Tm,Detail,CIN,ATL
0,1.0,Falcons,Jim Mitchell 17 yard pass from Steve Bartkowski (Nick Mike-Mayer kick),0,7
1,2.0,Bengals,Ken Riley 30 yard interception return (Dave Green kick),7,7
2,2.0,Bengals,Charlie Joiner 30 yard pass from Ken Anderson (Dave Green kick),14,7
3,4.0,Falcons,Jim Mitchell 2 yard pass from Kim McQuilken (Nick Mike-Mayer kick),14,14
4,4.0,Bengals,Ken Anderson 3 yard rush (Dave Green kick),21,14
