,Quarter,Time,Tm,Detail,DAL,SDG
0,1.0,10:58,Chargers,"Safety, R. Davis sacked Aikman in end zone",0,2
1,1.0,10:58,Cowboys,Emmitt Smith 4 yard rush (Chris Boniol kick),7,2
2,2.0,10:58,Cowboys,Emmitt Smith 1 yard rush (Chris Boniol kick),14,2
3,3.0,10:58,Chargers,Ronnie Harmon 48 yard rush (John Carney kick),14,9
4,3.0,10:58,Cowboys,Daryl Johnston 1 yard rush,20,9
5,4.0,10:58,Cowboys,Chris Boniol 30 yard field goal,23,9
