,Quarter,Tm,Detail,DET,TAM
0,1.0,Buccaneers,Garo Yepremian 24 yard field goal,0,3
1,2.0,Buccaneers,Gordon Jones 12 yard pass from Doug Williams (Garo Yepremian kick),0,10
2,2.0,Lions,Ray Williams 11 yard rush (Eddie Murray kick),7,10
3,2.0,Lions,Billy Sims 21 yard rush (Eddie Murray kick),14,10
4,3.0,Lions,Eddie Murray 33 yard field goal,17,10
5,4.0,Lions,Dexter Bussey 5 yard rush (Eddie Murray kick),24,10
