,Quarter,Tm,Detail,ATL,STL
0,1.0,Falcons,Bob Etter 37 yard field goal,3,0
1,2.0,Cardinals,Willis Crenshaw 30 yard pass from Jim Hart (Jim Bakken kick),3,7
2,3.0,Cardinals,Jim Bakken 12 yard field goal,3,10
3,3.0,Cardinals,Jim Hart 1 yard rush (Jim Bakken kick),3,17
4,3.0,Falcons,Harmon Wages 55 yard pass from Bob Berry,9,17
5,4.0,Falcons,Bob Etter 42 yard field goal,12,17
