,Quarter,Time,Tm,Detail,LAR,PIT
0,1.0,14:53,Rams,Dante Fowler 26 yard fumble return (Greg Zuerlein kick),7,0
1,1.0,0:40,Steelers,James Washington 3 yard pass from Mason Rudolph (Chris Boswell kick),7,7
2,2.0,1:56,Steelers,Minkah Fitzpatrick 43 yard fumble return (Chris Boswell kick),7,14
3,3.0,0:14,Rams,Greg Zuerlein 30 yard field goal,10,14
4,4.0,12:46,Rams,"Safety, Mason Rudolph sacked in end zone by Aaron Donald",12,14
5,4.0,2:49,Steelers,Chris Boswell 33 yard field goal,12,17
