,Quarter,Tm,Detail,NYG,CLE
0,1.0,Browns,Lou Groza 30 yard field goal,0,3
1,1.0,Browns,Pete Brewster 22 yard pass from George Ratterman (Lou Groza kick),0,10
2,2.0,Giants,Buford Long 22 yard pass from Charlie Conerly (Randy Clay kick),7,10
3,2.0,Browns,Ray Renfro 58 yard rush (Lou Groza kick),7,17
4,2.0,Browns,Pete Brewster 23 yard pass from George Ratterman (Lou Groza kick),7,24
5,2.0,Browns,Pete Brewster 36 yard pass from Ray Renfro (Lou Groza kick),7,31
6,3.0,Giants,Frank Gifford 13 yard pass from Charlie Conerly (Randy Clay kick),14,31
7,3.0,Browns,Ken Carpenter 2 yard rush (Lou Groza kick),14,38
8,3.0,Browns,Ray Renfro 60 yard pass from Otto Graham (Lou Groza kick),14,45
9,3.0,Browns,Lou Groza 18 yard field goal,14,48
10,3.0,Browns,Walt Michaels 34 yard interception return (Lou Groza kick),14,55
11,4.0,Browns,Ken Carpenter 22 yard pass from George Ratterman (Lou Groza kick),14,62
