,Quarter,Tm,Detail,CLE,PIT
0,2.0,Browns,Ray Renfro 32 yard pass from Chet Hanulak (Lou Groza kick),7,0
1,2.0,Steelers,Jug Girard 22 yard pass from Earl Morrall,7,6
2,2.0,Browns,Lou Groza 29 yard field goal,10,6
3,3.0,Browns,Lou Groza 45 yard field goal,13,6
4,3.0,Steelers,Jug Girard 31 yard pass from Earl Morrall,13,12
5,4.0,Browns,Lou Groza 14 yard field goal,16,12
6,4.0,Browns,Milt Campbell 25 yard pass from Tommy O'Connell (Lou Groza kick),23,12
