,Quarter,Time,Tm,Detail,DET,NOR
0,1.0,9:38,Saints,Sammy Knight 37 yard interception return (Doug Brien kick),0,7
1,2.0,5:35,Lions,Jason Hanson 24 yard field goal,3,7
2,2.0,1:53,Lions,Jason Hanson 30 yard field goal,6,7
3,3.0,2:06,Lions,Desmond Howard 95 yard punt return (two point pass successful),14,7
4,4.0,13:57,Saints,Doug Brien 48 yard field goal,14,10
