,Quarter,Tm,Detail,NYG,CRD
0,1.0,Cardinals,Elmer Angsman 12 yard rush (Pat Harder kick),0,7
1,1.0,Cardinals,Babe Dimancheff 1 yard rush (Pat Harder kick),0,14
2,1.0,Giants,Bill Swiacki 11 yard pass from Charlie Conerly (Ben Agajanian kick),7,14
3,2.0,Cardinals,Babe Dimancheff 16 yard rush (Pat Harder kick),7,21
4,2.0,Cardinals,Mal Kutner 26 yard pass from Jim Hardy (Pat Harder kick),7,28
5,3.0,Giants,Jack Salscheider 95 yard kickoff return (Ben Agajanian kick),14,28
6,3.0,Giants,Frank LoVuolo 25 yard fumble return,20,28
7,3.0,Giants,Gene Roberts 1 yard rush (Ben Agajanian kick),27,28
8,3.0,Cardinals,Vinnie Yablonski 27 yard field goal,27,31
9,4.0,Giants,Gene Roberts 1 yard rush (Ben Agajanian kick),34,31
10,4.0,Cardinals,Elmer Angsman 26 yard rush (Pat Harder kick),34,38
11,4.0,Giants,Joe Scott 1 yard rush (Ben Agajanian kick),41,38
