,Quarter,Tm,Detail,IND,SFO
0,1.0,49ers,Tim McKyer 21 yard interception return (Ray Wersching kick),0,7
1,2.0,Colts,Owen Gill 1 yard rush (Dean Biasucci kick),7,7
2,2.0,Colts,Bill Brooks 84 yard pass from Jack Trudeau (Dean Biasucci kick),14,7
3,2.0,49ers,Joe Cribbs 9 yard rush (Ray Wersching kick),14,14
4,3.0,49ers,Jerry Rice 45 yard pass from Jeff Kemp (Ray Wersching kick),14,21
5,3.0,49ers,Jerry Rice 16 yard pass from Jeff Kemp (Ray Wersching kick),14,28
6,4.0,49ers,Jerry Rice 58 yard pass from Jeff Kemp (Ray Wersching kick),14,35
