,Quarter,Time,Tm,Detail,IND,NWE
0,1.0,4:23,Patriots,Antowain Smith 4 yard rush (Adam Vinatieri kick),0,7
1,2.0,5:50,Patriots,Adam Vinatieri 47 yard field goal,0,10
2,2.0,1:42,Patriots,Otis Smith 78 yard interception return (Adam Vinatieri kick),0,17
3,2.0,0:00,Patriots,Adam Vinatieri 48 yard field goal,0,20
4,3.0,9:37,Patriots,Adam Vinatieri 35 yard field goal,0,23
5,3.0,0:53,Colts,Peyton Manning 10 yard rush (Mike Vanderjagt kick),7,23
6,4.0,13:24,Patriots,Kevin Faulk 8 yard rush (Adam Vinatieri kick),7,30
7,4.0,12:24,Patriots,Ty Law 23 yard interception return (Adam Vinatieri kick),7,37
8,4.0,8:51,Colts,Marcus Pollard 17 yard pass from Peyton Manning (pass failed),13,37
9,4.0,3:39,Patriots,Antowain Smith 2 yard rush (Adam Vinatieri kick),13,44
