,Quarter,Tm,Detail,DEN,PHI
0,1.0,Eagles,Roger Ruzek 50 yard field goal,0,3
1,2.0,Eagles,Calvin Williams 24 yard pass from Randall Cunningham (Roger Ruzek kick),0,10
2,2.0,Eagles,Fred Barnett 34 yard pass from Randall Cunningham (Roger Ruzek kick),0,17
3,3.0,Eagles,Roger Ruzek 27 yard field goal,0,20
4,3.0,Eagles,Calvin Williams 49 yard pass from Randall Cunningham (Roger Ruzek kick),0,27
5,4.0,Eagles,Roger Ruzek 35 yard field goal,0,30
