,Quarter,Tm,Detail,BUF,MIN
0,1,Vikings,Ahmad Rashad 19 yard pass from Tommy Kramer (Rick Danmeier kick),0,7
1,2,Vikings,Rick Danmeier 31 yard field goal,0,10
2,4,Bills,Nick Mike-Mayer 24 yard field goal,3,10
