,Quarter,Tm,Detail,CLE,RAM
0,2.0,Rams,Dick Hoerner 1 yard rush (Bob Waterfield kick),0,7
1,2.0,Browns,Lou Groza 52 yard field goal,3,7
2,2.0,Browns,Dub Jones 17 yard pass from Otto Graham (Lou Groza kick),10,7
3,3.0,Rams,Dan Towler 1 yard rush (Bob Waterfield kick),10,14
4,4.0,Rams,Bob Waterfield 17 yard field goal,10,17
5,4.0,Browns,Ken Carpenter 2 yard rush (Lou Groza kick),17,17
6,4.0,Rams,Tom Fears 73 yard pass from Norm Van Brocklin (Bob Waterfield kick),17,24
